time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-06-13T15:56:33.950Z,19.39183426,-155.2765045,0.579999983,3.27,ml,14,76,0.004433,0.119999997,hv,hv74275621,2024-06-13T16:00:23.604Z,"7 km SW of Volcano, Hawaii",earthquake,0.19,0.219999999,0.45,45,automatic,hv,hv
2024-06-13T15:47:15.310Z,38.78733444,-122.7470016,1.100000024,1.35,md,19,83,0.009014,0.03,nc,nc75021847,2024-06-13T15:48:52.031Z,"1 km NE of The Geysers, CA",earthquake,0.22,0.439999998,0.18,19,automatic,nc,nc
2024-06-13T15:47:14.008Z,31.676,-104.2,4.4219,2.4,ml,21,106,0.1,0.2,tx,tx2024lovt,2024-06-13T15:57:16.932Z,"55 km NW of Toyah, Texas",earthquake,0,1.529493609,0.2,14,automatic,tx,tx
2024-06-13T15:43:46.230Z,33.2703333,-116.4206667,3.54,1.58,ml,19,173,0.003627,0.11,ci,ci40797256,2024-06-13T15:51:58.349Z,"4 km WNW of Borrego Springs, CA",earthquake,0.43,0.46,0.131,25,automatic,ci,ci
2024-06-13T15:43:46.170Z,33.2628326,-116.430336,4,1.62,ml,49,38,0.01227,0.21,ci,ci40797264,2024-06-13T15:54:57.530Z,"5 km W of Borrego Springs, CA",earthquake,0.26,0.57,0.33,25,automatic,ci,ci
2024-06-13T15:35:15.899Z,-7.529,127.6885,158.187,4.8,mb,61,45,3.712,0.81,us,us7000ms5e,2024-06-13T15:49:51.040Z,"133 km NE of Lospalos, Timor Leste",earthquake,3.5,6.866,0.053,111,reviewed,us,us
2024-06-13T15:25:05.438Z,63.214,-151.5526,35.6,3.3,ml,,,,0.91,ak,ak0247l4r4lf,2024-06-13T15:42:43.040Z,"37 km SSE of Denali National Park, Alaska",earthquake,,15.8,,,automatic,ak,ak
2024-06-13T15:06:47.790Z,38.80483246,-122.8170013,2.769999981,1.08,md,24,60,0.01033,0.04,nc,nc75021832,2024-06-13T15:08:21.805Z,"6 km NW of The Geysers, CA",earthquake,0.25,0.430000007,0.15,24,automatic,nc,nc
2024-06-13T15:04:37.520Z,61.2035,-147.0103,0,1.7,ml,,,,0.8,ak,ak0247l4mpbc,2024-06-13T15:06:40.179Z,"36 km WNW of Valdez, Alaska",earthquake,,0.5,,,automatic,ak,ak
2024-06-13T14:57:41.860Z,33.4778333,-116.5538333,8.21,0.57,ml,13,205,0.04378,0.14,ci,ci40797176,2024-06-13T15:48:00.146Z,"14 km SE of Anza, CA",earthquake,0.4,0.47,0.051,6,reviewed,ci,ci
2024-06-13T14:29:22.215Z,63.0827,-151.3632,0,1.2,ml,,,,0.65,ak,ak0247l46lfh,2024-06-13T14:31:45.192Z,"54 km SSE of Denali National Park, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-06-13T14:04:57.903Z,52.7655,-175.6008,235.401,4.6,mb,79,80,0.728,0.81,us,us7000ms55,2024-06-13T15:56:49.997Z,"114 km WNW of Atka, Alaska",earthquake,9.27,7.184,0.032,291,reviewed,us,us
2024-06-13T14:03:19.270Z,38.83466721,-122.7893295,1.799999952,0.7,md,10,64,0.003819,0.01,nc,nc75021812,2024-06-13T14:04:56.991Z,"6 km WNW of Cobb, CA",earthquake,0.35,0.519999981,0.14,11,automatic,nc,nc
2024-06-13T14:02:08.730Z,38.79600143,-122.7783356,3.380000114,1.49,md,27,75,0.008001,0.03,nc,nc75021807,2024-06-13T14:06:00.360Z,"3 km NNW of The Geysers, CA",earthquake,0.28,0.400000006,0.17,29,automatic,nc,nc
2024-06-13T13:59:20.570Z,38.80966568,-122.8181686,1.860000014,0.8,md,14,69,0.0151,0.03,nc,nc75021802,2024-06-13T14:00:57.141Z,"6 km NW of The Geysers, CA",earthquake,0.3,0.5,0.13,16,automatic,nc,nc
2024-06-13T13:58:14.230Z,38.8370018,-122.8481674,11.85999966,0.94,md,9,228,0.01164,0.04,nc,nc75021797,2024-06-13T13:59:51.958Z,"10 km NW of The Geysers, CA",earthquake,2.37,2.8499999,0.24,9,automatic,nc,nc
2024-06-13T13:56:51.153Z,59.63,-152.3365,80.2,1.6,ml,,,,0.4,ak,ak0247l3r0e3,2024-06-13T13:58:41.574Z,"32 km WSW of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-06-13T13:55:33.759Z,37.0847,-116.2753,16,1.1,ml,10,77.31,0.134,0.2334,nn,nn00879151,2024-06-13T13:57:42.132Z,"47 km ENE of Beatty, Nevada",earthquake,,8.6,0.41,5,automatic,nn,nn
2024-06-13T13:49:11.376Z,57.7949,-155.6206,86.4,5,mb,,,,0.47,ak,ak0247l3pf99,2024-06-13T15:59:17.922Z,"73 km WNW of Karluk, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2024-06-13T13:47:44.830Z,35.7035,-117.511,6.67,0.62,ml,15,142,0.08073,0.13,ci,ci40797064,2024-06-13T16:02:54.736Z,"12 km SW of Searles Valley, CA",earthquake,0.38,0.8,0.07,2,reviewed,ci,ci
2024-06-13T13:47:09.190Z,33.7585,-115.9193333,3.45,0.85,ml,28,70,0.09005,0.12,ci,ci40797056,2024-06-13T15:58:50.415Z,"24 km ENE of Thermal, CA",earthquake,0.16,0.7,0.118,11,reviewed,ci,ci
2024-06-13T13:44:34.061Z,61.0088,-152.2157,125.9,1,ml,,,,0.13,ak,ak0247l3oeha,2024-06-13T13:45:43.719Z,"58 km W of Tyonek, Alaska",earthquake,,4.2,,,automatic,ak,ak
2024-06-13T13:21:08.500Z,38.82550049,-122.7975006,2.640000105,0.72,md,15,57,0.01004,0.03,nc,nc75021787,2024-06-13T13:22:47.058Z,"6 km NNW of The Geysers, CA",earthquake,0.29,0.589999974,0.06,15,automatic,nc,nc
2024-06-13T13:16:55.290Z,38.83750153,-122.7988358,1.690000057,1.06,md,13,69,0.0166,0.03,nc,nc75021782,2024-06-13T13:18:31.816Z,"7 km WNW of Cobb, CA",earthquake,0.26,0.699999988,0.27,14,automatic,nc,nc
2024-06-13T12:53:51.960Z,32.8805,-115.4865,10.28,1.82,ml,31,70,0.04638,0.23,ci,ci40797016,2024-06-13T15:41:54.566Z,"9 km ENE of Imperial, CA",earthquake,0.36,0.62,0.27,28,reviewed,ci,ci
2024-06-13T12:31:16.604Z,63.2363,-151.5812,1.3,1.2,ml,,,,0.95,ak,ak0247l3057w,2024-06-13T12:34:00.596Z,"34 km SSE of Denali National Park, Alaska",earthquake,,0.5,,,automatic,ak,ak
2024-06-13T12:26:48.190Z,38.81916809,-122.8026657,1.120000005,1.04,md,20,35,0.007163,0.02,nc,nc75021772,2024-06-13T12:28:27.852Z,"6 km NNW of The Geysers, CA",earthquake,0.19,0.400000006,0.27,20,automatic,nc,nc
2024-06-13T12:23:17.230Z,35.90166667,-98.3835,6.09,1.83,ml,92,31,0.046790818,0.37,ok,ok2024lopa,2024-06-13T12:38:35.450Z,"6 km NNE of Watonga, Oklahoma",earthquake,,0.6,0.19,38,reviewed,ok,ok
2024-06-13T12:19:51.262Z,62.5465,-151.3034,71.1,1.1,ml,,,,0.82,ak,ak0247l2xnbe,2024-06-13T12:22:22.590Z,"28 km W of Petersville, Alaska",earthquake,,0.7,,,automatic,ak,ak
2024-06-13T12:19:16.150Z,38.495,-112.8965,3.32,0.7,md,12,117,0.01015,0.08,uu,uu80073491,2024-06-13T13:17:12.310Z,"14 km NE of Milford, Utah",earthquake,0.31,0.44,0.349686694,5,reviewed,uu,uu
2024-06-13T12:15:36.390Z,38.82316589,-122.8529968,2.099999905,0.33,md,8,153,0.01403,0.01,nc,nc75021767,2024-06-13T12:17:12.439Z,"10 km NW of The Geysers, CA",earthquake,0.62,1.40999997,0.21,10,automatic,nc,nc
2024-06-13T12:01:08.595Z,61.2541,-146.4649,50.3,1.6,ml,,,,1.56,ak,ak0247l2tp4b,2024-06-13T12:03:08.837Z,"15 km NNW of Valdez, Alaska",earthquake,,2,,,automatic,ak,ak
2024-06-13T11:59:54.780Z,35.6546667,-117.452,4.88,0.97,ml,20,75,0.02528,0.1,ci,ci40797000,2024-06-13T15:33:32.333Z,"13 km SSW of Searles Valley, CA",earthquake,0.17,0.28,0.161,4,reviewed,ci,ci
2024-06-13T11:53:17.030Z,19.38533401,-155.239502,2.049999952,1.76,ml,19,73,0.01115,0.200000003,hv,hv74275406,2024-06-13T11:55:55.680Z,"6 km S of Volcano, Hawaii",earthquake,0.28,0.219999999,0.2,9,automatic,hv,hv
2024-06-13T11:49:06.750Z,58.5745,-153.638,32.6,1.3,ml,,,,0.23,ak,ak0247l2ijqr,2024-06-13T11:50:47.335Z,"71 km NW of Aleneva, Alaska",earthquake,,2.7,,,automatic,ak,ak
2024-06-13T11:48:10.386Z,37.3612,-117.8804,4,1.7,ml,22,150.87,0.073,0.1847,nn,nn00879139,2024-06-13T11:50:53.684Z,"37 km SSE of Dyer, Nevada",earthquake,,0.7,0.22,15,automatic,nn,nn
2024-06-13T11:43:10.394Z,60.2864,-152.5534,86.8,1.2,ml,,,,0.59,ak,ak0247l2h9q7,2024-06-13T11:45:18.062Z,"55 km WNW of Ninilchik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2024-06-13T11:43:08.030Z,45.1805,-122.7478333,19.85,1.79,ml,28,53,0.04711,0.15,uw,uw62006712,2024-06-13T13:07:45.880Z,"4 km E of Hubbard, Oregon",earthquake,0.28,0.57,0.19857605092434083,33,reviewed,uw,uw
2024-06-13T11:38:10.083Z,28.4735,52.9379,10,4.6,mb,70,69,4.569,0.81,us,us7000ms44,2024-06-13T11:57:16.040Z,"54 km SE of Fīrūzābād, Iran",earthquake,8.42,1.882,0.056,96,reviewed,us,us
2024-06-13T11:25:56.406Z,62.3628,-151.5499,10.3,1.3,ml,,,,0.54,ak,ak0247l2die0,2024-06-13T11:28:01.672Z,"42 km N of Skwentna, Alaska",earthquake,,0.2,,,automatic,ak,ak
2024-06-13T11:19:49.374Z,63.0952,-151.4915,0,1.6,ml,,,,1.04,ak,ak0247l2c7jt,2024-06-13T11:22:21.301Z,"51 km SSE of Denali National Park, Alaska",earthquake,,0.3,,,automatic,ak,ak
2024-06-13T11:12:22.619Z,31.709,-101.699,8.1299,2.7,ml,23,71,0.1,0.1,tx,tx2024loms,2024-06-13T15:13:14.658Z,"26 km SW of Garden City, Texas",earthquake,0.9891406476358519,1.146664342,0.1,14,reviewed,tx,tx
2024-06-13T11:07:37.790Z,38.82799911,-122.8538361,3,0.76,md,8,102,0.01664,0.02,nc,nc75021752,2024-06-13T11:09:11.842Z,"10 km NW of The Geysers, CA",earthquake,0.53,1.60000002,0.23,10,automatic,nc,nc
2024-06-13T11:01:00.770Z,38.82749939,-122.8554993,2.50999999,1.51,md,27,73,0.01615,0.02,nc,nc75021747,2024-06-13T11:02:36.974Z,"10 km NW of The Geysers, CA",earthquake,0.23,0.400000006,0.15,28,automatic,nc,nc
2024-06-13T11:00:41.960Z,38.79933167,-122.753334,4.420000076,0.76,md,10,96,0.005148,0.02,nc,nc75021742,2024-06-13T11:02:16.657Z,"2 km NNE of The Geysers, CA",earthquake,0.45,1.60000002,0.32,11,automatic,nc,nc
2024-06-13T10:57:16.990Z,47.607,-121.8133333,16.31,1.26,ml,30,100,0.09871,0.11,uw,uw62006707,2024-06-13T13:10:58.290Z,"7 km NE of Fall City, Washington",earthquake,0.3,0.26,0.20921111117870395,17,reviewed,uw,uw
2024-06-13T10:46:25.039Z,63.0957,-151.344,0,1.4,ml,,,,0.71,ak,ak0247l1wief,2024-06-13T10:48:22.809Z,"53 km SSE of Denali National Park, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-06-13T10:27:34.924Z,61.8511,-146.6057,23.8,1.4,ml,,,,0.76,ak,ak0247l1sgk4,2024-06-13T10:30:21.507Z,"17 km SSE of Nelchina, Alaska",earthquake,,0.2,,,automatic,ak,ak
2024-06-13T10:23:07.639Z,12.6133,144.2362,29.917,5.1,mb,76,39,1.149,1.08,us,us7000ms3s,2024-06-13T15:44:52.476Z,"86 km SSW of Merizo Village, Guam",earthquake,9.17,5.198,0.04,203,reviewed,us,us
2024-06-13T10:19:26.734Z,59.9206,-140.8213,0,1.7,ml,,,,0.57,ak,ak0247l1qq75,2024-06-13T10:21:49.528Z,"74 km WNW of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak
2024-06-13T10:06:45.295Z,60.4306,-152.1154,57.5,1.2,ml,,,,0.78,ak,ak0247l1nzbl,2024-06-13T10:09:25.485Z,"45 km W of Cohoe, Alaska",earthquake,,2.3,,,automatic,ak,ak
2024-06-13T09:48:59.841Z,66.5868,-150.7921,4.5,2.7,ml,,,,0.84,ak,ak0247l1bkwu,2024-06-13T11:01:37.040Z,"48 km SE of Bettles, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-06-13T09:35:29.025Z,62.6115,-148.3353,51.3,1.1,ml,,,,0.42,ak,ak0247l18q86,2024-06-13T09:37:31.826Z,"91 km N of Chickaloon, Alaska",earthquake,,0.7,,,automatic,ak,ak
2024-06-13T09:25:26.900Z,17.942,-66.95083333,9.75,2.48,md,11,219,0.05015,0.11,pr,pr71452473,2024-06-13T10:16:57.250Z,"5 km SW of Guánica, Puerto Rico",earthquake,0.49,0.49,0.074003204,5,reviewed,pr,pr
